bike_station_name,poi_name,distance,latitude,longitude
Triumph & Victoria,Dundas Eat + Drink,246.12058969613167,49.285084,-123.062273
Triumph & Victoria,Aleph Eatery,110.68036746426216,49.2849288,-123.065795
Triumph & Victoria,Straight and Marrow,114.34071933350647,49.2848302,-123.0661495
Triumph & Victoria,Mr Red Cafe,434.86393801747494,49.281317,-123.060882
Triumph & Victoria,Yama Cafe,315.039970690049,49.2813049,-123.0632877
Triumph & Victoria,Absinthe Bistro,926.3943711390365,49.27607,-123.0692457
Triumph & Victoria,JJ Bean Coffee Roasters,61.54146261772771,49.28454,-123.06528
Triumph & Victoria,Tacofino Commissary,636.996887346957,49.281311298366035,-123.0574981
Triumph & Victoria,Pelican Seafood Restaurant,267.1196610052601,49.28165092582909,-123.0661289
Triumph & Victoria,Innocent Ice Cream,398.836252577354,49.28135725832989,-123.0615231
18th & Main,Anh and Chi,54.72735884510411,49.2550314422938,-123.100882202153
18th & Main,Published On Main,204.73181350596576,49.25283186017385,-123.10116032897228
18th & Main,Sushi Hil,79.57164955294378,49.2554661,-123.1011451
18th & Main,Suyo Modern Peruvian,74.6941322949978,49.2540292,-123.1010659958052
18th & Main,The Fish Counter,430.8089306353737,49.25076,-123.10136
18th & Main,Burgoo Bistros,334.85027506266687,49.25765498958033,-123.100815
18th & Main,El Camino's,166.47980478788216,49.2561154,-123.1010503
18th & Main,Good Thief,73.49256026910862,49.25534,-123.10106
18th & Main,The General Public,130.971349904842,49.2558434896122,-123.101475865737
18th & Main,Kwong Chow Congee & Noodle House,259.93412978700746,49.257,-123.10151
St Catherines & 10th,Fassil Ethiopian Restaurant,242.49711997809135,49.262316686122,-123.08833077466
St Catherines & 10th,Pizzeria Barbarella,343.5994638554511,49.262323801504,-123.08982824163
St Catherines & 10th,Osteria Savio Volpe,591.2872349506911,49.2574913,-123.0909344
St Catherines & 10th,Les Faux Bourgeois,555.4576206127764,49.2572813531481,-123.089767330802
St Catherines & 10th,Sal y Limón,570.3882247359646,49.2569043786921,-123.08924632997
St Catherines & 10th,AJ's Brooklyn Pizza Joint,957.9412286031557,49.2629437687572,-123.098307028413
St Catherines & 10th,Kin Kao Song,980.744401497117,49.2629749,-123.0986667
St Catherines & 10th,The Farmhouse,856.291474079834,49.26185879464837,-123.09710762514682
St Catherines & 10th,L'atelier Patisserie,459.06120719224975,49.262649277632505,-123.09133920302548
St Catherines & 10th,Sprezzatura,894.5091775588784,49.2613547,-123.0978287
Nelson & Richards,Tutto,161.95524928597044,49.2784091,-123.1187139
Nelson & Richards,The Flying Pig,321.8813804072338,49.27501,-123.122
Nelson & Richards,Robba da Matti,278.4845364085965,49.2753397,-123.1208967
Nelson & Richards,The Parlour,123.78821079507904,49.276835,-123.120221
Nelson & Richards,Blue Water Cafe,181.15626165812913,49.2761945,-123.1209935
Nelson & Richards,Lupo,263.69199741454474,49.278222058049096,-123.11735347768747
Nelson & Richards,Minami,287.06805486911145,49.2752733,-123.1207029
Nelson & Richards,The Mexican Antojitos Y Cantina,247.39015453181042,49.2787726,-123.1240268
Nelson & Richards,Nero Waffles,97.41497518766067,49.27834403099929,-123.122044653573
Nelson & Richards,Sushi Jin,284.1623416422827,49.2795794102629,-123.123817518353
Arbutus & 10th,Temaki Sushi,176.0863514941588,49.263919,-123.154395
Arbutus & 10th,Casereccio Foods,384.89698735197345,49.2642,-123.15742
Arbutus & 10th,Fable Kitchen,624.3849093995607,49.2679331,-123.149019
Arbutus & 10th,Coquette,85.63381790112828,49.26212,-123.15324
